index,year,month,day,time,camera,tag,prediction
0,2023,07,01,0003,B,PICT2440,1
1,2023,07,01,0008,B,PICT2441,1
2,2023,07,01,0013,B,PICT2442,1
3,2023,07,01,0018,B,PICT2443,1
4,2023,07,01,0023,B,PICT2444,1
5,2023,07,01,0028,B,PICT2445,1
6,2023,07,01,0033,B,PICT2446,1
7,2023,07,01,0038,B,PICT2447,1
8,2023,07,01,0043,B,PICT2448,1
9,2023,07,01,0048,B,PICT2449,1
10,2023,07,01,0053,B,PICT2450,1
11,2023,07,01,0058,B,PICT2451,1
12,2023,07,01,0103,B,PICT2452,1
13,2023,07,01,0108,B,PICT2453,1
14,2023,07,01,0113,B,PICT2454,1
15,2023,07,01,0118,B,PICT2455,1
16,2023,07,01,0123,B,PICT2456,1
17,2023,07,01,0128,B,PICT2457,1
18,2023,07,01,0133,B,PICT2458,1
19,2023,07,01,0138,B,PICT2459,1
20,2023,07,01,0143,B,PICT2460,1
21,2023,07,01,0148,B,PICT2461,1
22,2023,07,01,0153,B,PICT2462,1
23,2023,07,01,0158,B,PICT2463,1
24,2023,07,01,0203,B,PICT2464,1
25,2023,07,01,0208,B,PICT2465,1
26,2023,07,01,0213,B,PICT2466,1
27,2023,07,01,0218,B,PICT2467,1
28,2023,07,01,0223,B,PICT2468,1
29,2023,07,01,0228,B,PICT2469,1
30,2023,07,01,0233,B,PICT2470,1
31,2023,07,01,0238,B,PICT2471,1
32,2023,07,01,0243,B,PICT2472,1
33,2023,07,01,0248,B,PICT2473,1
34,2023,07,01,0253,B,PICT2474,1
35,2023,07,01,0258,B,PICT2475,1
36,2023,07,01,0303,B,PICT2476,1
37,2023,07,01,0308,B,PICT2477,1
38,2023,07,01,0313,B,PICT2478,1
39,2023,07,01,0318,B,PICT2479,1
40,2023,07,01,0323,B,PICT2480,1
41,2023,07,01,0328,B,PICT2481,1
42,2023,07,01,0333,B,PICT2482,1
43,2023,07,01,0338,B,PICT2483,1
44,2023,07,01,0343,B,PICT2484,1
45,2023,07,01,0348,B,PICT2485,1
46,2023,07,01,0353,B,PICT2486,1
47,2023,07,01,0358,B,PICT2487,1
48,2023,07,01,0403,B,PICT2488,1
49,2023,07,01,0408,B,PICT2489,1
50,2023,07,01,0413,B,PICT2490,1
51,2023,07,01,0418,B,PICT2491,1
52,2023,07,01,0423,B,PICT2492,1
53,2023,07,01,0428,B,PICT2493,1
54,2023,07,01,0433,B,PICT2494,1
55,2023,07,01,0438,B,PICT2495,1
56,2023,07,01,0443,B,PICT2496,1
57,2023,07,01,0448,B,PICT2497,1
58,2023,07,01,0453,B,PICT2498,1
59,2023,07,01,0458,B,PICT2499,1
60,2023,07,01,0503,B,PICT2500,1
61,2023,07,01,0508,B,PICT2501,1
62,2023,07,01,0513,B,PICT2502,1
63,2023,07,01,0518,B,PICT2503,1
64,2023,07,01,0523,B,PICT2504,1
65,2023,07,01,0528,B,PICT2505,1
66,2023,07,01,0533,B,PICT2506,1
67,2023,07,01,0538,B,PICT2507,1
68,2023,07,01,0543,B,PICT2508,1
69,2023,07,01,0548,B,PICT2509,1
70,2023,07,01,0553,B,PICT2510,1
71,2023,07,01,0558,B,PICT2511,1
72,2023,07,01,0603,B,PICT2512,1
73,2023,07,01,0608,B,PICT2513,1
74,2023,07,01,0613,B,PICT2514,1
75,2023,07,01,0618,B,PICT2515,1
76,2023,07,01,0623,B,PICT2516,1
77,2023,07,01,0628,B,PICT2517,1
78,2023,07,01,0633,B,PICT2518,1
79,2023,07,01,0638,B,PICT2519,1
80,2023,07,01,0643,B,PICT2520,1
81,2023,07,01,0648,B,PICT2521,1
82,2023,07,01,0653,B,PICT2522,1
83,2023,07,01,0658,B,PICT2523,1
84,2023,07,01,0703,B,PICT2524,1
85,2023,07,01,0708,B,PICT2525,1
86,2023,07,01,0713,B,PICT2526,1
87,2023,07,01,0718,B,PICT2527,1
88,2023,07,01,0723,B,PICT2528,1
89,2023,07,01,0728,B,PICT2529,1
90,2023,07,01,0733,B,PICT2530,1
91,2023,07,01,0738,B,PICT2531,1
92,2023,07,01,0743,B,PICT2532,1
93,2023,07,01,0748,B,PICT2533,1
94,2023,07,01,0753,B,PICT2534,1
95,2023,07,01,0758,B,PICT2535,1
96,2023,07,01,0803,B,PICT2536,1
97,2023,07,01,0808,B,PICT2537,1
98,2023,07,01,0813,B,PICT2538,1
99,2023,07,01,0818,B,PICT2539,1
100,2023,07,01,0823,B,PICT2540,1
101,2023,07,01,0828,B,PICT2541,1
102,2023,07,01,0833,B,PICT2542,1
103,2023,07,01,0838,B,PICT2543,1
104,2023,07,01,0843,B,PICT2544,1
105,2023,07,01,0848,B,PICT2545,1
106,2023,07,01,0853,B,PICT2546,1
107,2023,07,01,0858,B,PICT2547,1
108,2023,07,01,0903,B,PICT2548,1
109,2023,07,01,0908,B,PICT2549,1
110,2023,07,01,0913,B,PICT2550,1
111,2023,07,01,0918,B,PICT2551,1
112,2023,07,01,0923,B,PICT2552,1
113,2023,07,01,0928,B,PICT2553,1
114,2023,07,01,0933,B,PICT2554,1
115,2023,07,01,0938,B,PICT2555,1
116,2023,07,01,0943,B,PICT2556,1
117,2023,07,01,0948,B,PICT2557,1
118,2023,07,01,0953,B,PICT2558,1
119,2023,07,01,0958,B,PICT2559,1
120,2023,07,01,1003,B,PICT2560,1
121,2023,07,01,1008,B,PICT2561,1
122,2023,07,01,1013,B,PICT2562,1
123,2023,07,01,1018,B,PICT2563,1
124,2023,07,01,1023,B,PICT2564,1
125,2023,07,01,1028,B,PICT2565,1
126,2023,07,01,1033,B,PICT2566,1
127,2023,07,01,1038,B,PICT2567,1
128,2023,07,01,1043,B,PICT2568,1
129,2023,07,01,1048,B,PICT2569,1
130,2023,07,01,1053,B,PICT2570,1
131,2023,07,01,1058,B,PICT2571,1
132,2023,07,01,1103,B,PICT2572,1
133,2023,07,01,1108,B,PICT2573,1
134,2023,07,01,1113,B,PICT2574,1
135,2023,07,01,1118,B,PICT2575,1
136,2023,07,01,1123,B,PICT2576,1
137,2023,07,01,1128,B,PICT2577,1
138,2023,07,01,1133,B,PICT2578,1
139,2023,07,01,1138,B,PICT2579,1
140,2023,07,01,1143,B,PICT2580,1
141,2023,07,01,1148,B,PICT2581,1
142,2023,07,01,1153,B,PICT2582,1
143,2023,07,01,1158,B,PICT2583,1
144,2023,07,01,1232,B,PICT2584,1
145,2023,07,01,1237,B,PICT2585,1
146,2023,07,01,1242,B,PICT2586,1
147,2023,07,01,1247,B,PICT2587,1
148,2023,07,01,1252,B,PICT2588,1
149,2023,07,01,1257,B,PICT2589,1
150,2023,07,01,1302,B,PICT2590,1
151,2023,07,01,1307,B,PICT2591,1
152,2023,07,01,1312,B,PICT2592,1
153,2023,07,01,1317,B,PICT2593,1
154,2023,07,01,1322,B,PICT2594,1
155,2023,07,01,1327,B,PICT2595,1
156,2023,07,01,1332,B,PICT2596,1
157,2023,07,01,1337,B,PICT2597,1
158,2023,07,01,1342,B,PICT2598,1
159,2023,07,01,1347,B,PICT2599,1
160,2023,07,01,1352,B,PICT2600,1
161,2023,07,01,1357,B,PICT2601,1
162,2023,07,01,1402,B,PICT2602,1
163,2023,07,01,1407,B,PICT2603,1
164,2023,07,01,1412,B,PICT2604,1
165,2023,07,01,1417,B,PICT2605,1
166,2023,07,01,1422,B,PICT2606,1
167,2023,07,01,1427,B,PICT2607,1
168,2023,07,01,1432,B,PICT2608,1
169,2023,07,01,1437,B,PICT2609,1
170,2023,07,01,1442,B,PICT2610,1
171,2023,07,01,1447,B,PICT2611,1
172,2023,07,01,1452,B,PICT2612,1
173,2023,07,01,1457,B,PICT2613,1
174,2023,07,01,1502,B,PICT2614,1
175,2023,07,01,1507,B,PICT2615,1
176,2023,07,01,1512,B,PICT2616,1
177,2023,07,01,1517,B,PICT2617,1
178,2023,07,01,1522,B,PICT2618,1
179,2023,07,01,1527,B,PICT2619,1
180,2023,07,01,1532,B,PICT2620,1
181,2023,07,01,1537,B,PICT2621,1
182,2023,07,01,1542,B,PICT2622,1
183,2023,07,01,1547,B,PICT2623,1
184,2023,07,01,1552,B,PICT2624,1
185,2023,07,01,1557,B,PICT2625,1
186,2023,07,01,1602,B,PICT2626,1
187,2023,07,01,1607,B,PICT2627,1
188,2023,07,01,1612,B,PICT2628,1
189,2023,07,01,1617,B,PICT2629,1
190,2023,07,01,1622,B,PICT2630,1
191,2023,07,01,1627,B,PICT2631,1
192,2023,07,01,1632,B,PICT2632,1
193,2023,07,01,1637,B,PICT2633,1
194,2023,07,01,1642,B,PICT2634,1
195,2023,07,01,1647,B,PICT2635,1
196,2023,07,01,1652,B,PICT2636,1
197,2023,07,01,1657,B,PICT2637,1
198,2023,07,01,1702,B,PICT2638,1
199,2023,07,01,1707,B,PICT2639,1
200,2023,07,01,1712,B,PICT2640,1
201,2023,07,01,1717,B,PICT2641,1
202,2023,07,01,1722,B,PICT2642,1
203,2023,07,01,1727,B,PICT2643,1
204,2023,07,01,1732,B,PICT2644,1
205,2023,07,01,1737,B,PICT2645,1
206,2023,07,01,1742,B,PICT2646,1
207,2023,07,01,1747,B,PICT2647,1
208,2023,07,01,1752,B,PICT2648,1
209,2023,07,01,1757,B,PICT2649,1
210,2023,07,01,1802,B,PICT2650,1
211,2023,07,01,1807,B,PICT2651,1
212,2023,07,01,1812,B,PICT2652,1
213,2023,07,01,1817,B,PICT2653,1
214,2023,07,01,1822,B,PICT2654,1
215,2023,07,01,1827,B,PICT2655,1
216,2023,07,01,1832,B,PICT2656,1
217,2023,07,01,1837,B,PICT2657,1
218,2023,07,01,1842,B,PICT2658,1
219,2023,07,01,1847,B,PICT2659,1
220,2023,07,01,1852,B,PICT2660,1
221,2023,07,01,1857,B,PICT2661,1
222,2023,07,01,1902,B,PICT2662,1
223,2023,07,01,1907,B,PICT2663,1
224,2023,07,01,1912,B,PICT2664,1
225,2023,07,01,1917,B,PICT2665,1
226,2023,07,01,1922,B,PICT2666,1
227,2023,07,01,1927,B,PICT2667,1
228,2023,07,01,1932,B,PICT2668,1
229,2023,07,01,1937,B,PICT2669,1
230,2023,07,01,1942,B,PICT2670,1
231,2023,07,01,1947,B,PICT2671,1
232,2023,07,01,1952,B,PICT2672,1
233,2023,07,01,1957,B,PICT2673,1
234,2023,07,01,2002,B,PICT2674,1
235,2023,07,01,2007,B,PICT2675,1
236,2023,07,01,2012,B,PICT2676,1
237,2023,07,01,2017,B,PICT2677,1
238,2023,07,01,2022,B,PICT2678,1
239,2023,07,01,2027,B,PICT2679,1
240,2023,07,01,2032,B,PICT2680,1
241,2023,07,01,2037,B,PICT2681,1
242,2023,07,01,2042,B,PICT2682,1
243,2023,07,01,2047,B,PICT2683,1
244,2023,07,01,2052,B,PICT2684,1
245,2023,07,01,2057,B,PICT2685,1
246,2023,07,01,2102,B,PICT2686,1
247,2023,07,01,2107,B,PICT2687,1
248,2023,07,01,2112,B,PICT2688,1
249,2023,07,01,2117,B,PICT2689,1
250,2023,07,01,2122,B,PICT2690,1
251,2023,07,01,2127,B,PICT2691,1
252,2023,07,01,2132,B,PICT2692,1
253,2023,07,01,2137,B,PICT2693,1
254,2023,07,01,2142,B,PICT2694,1
255,2023,07,01,2147,B,PICT2695,1
256,2023,07,01,2152,B,PICT2696,1
257,2023,07,01,2157,B,PICT2697,1
258,2023,07,01,2202,B,PICT2698,1
259,2023,07,01,2207,B,PICT2699,1
260,2023,07,01,2212,B,PICT2700,1
261,2023,07,01,2217,B,PICT2701,1
262,2023,07,01,2222,B,PICT2702,1
263,2023,07,01,2227,B,PICT2703,1
264,2023,07,01,2232,B,PICT2704,1
265,2023,07,01,2237,B,PICT2705,1
266,2023,07,01,2242,B,PICT2706,1
267,2023,07,01,2247,B,PICT2707,1
268,2023,07,01,2252,B,PICT2708,1
269,2023,07,01,2257,B,PICT2709,1
270,2023,07,01,2302,B,PICT2710,1
271,2023,07,01,2307,B,PICT2711,1
272,2023,07,01,2312,B,PICT2712,1
273,2023,07,01,2317,B,PICT2713,1
274,2023,07,01,2322,B,PICT2714,1
275,2023,07,01,2327,B,PICT2715,1
276,2023,07,01,2332,B,PICT2716,1
277,2023,07,01,2337,B,PICT2717,1
278,2023,07,01,2342,B,PICT2718,1
279,2023,07,01,2347,B,PICT2719,1
280,2023,07,01,2352,B,PICT2720,1
281,2023,07,01,2357,B,PICT2721,1
282,2023,07,02,0002,B,PICT2722,1
283,2023,07,02,0007,B,PICT2723,1
284,2023,07,02,0012,B,PICT2724,1
285,2023,07,02,0017,B,PICT2725,1
286,2023,07,02,0022,B,PICT2726,1
287,2023,07,02,0027,B,PICT2727,1
288,2023,07,02,0032,B,PICT2728,1
289,2023,07,02,0037,B,PICT2729,1
290,2023,07,02,0042,B,PICT2730,1
291,2023,07,02,0047,B,PICT2731,1
292,2023,07,02,0052,B,PICT2732,1
293,2023,07,02,0057,B,PICT2733,1
294,2023,07,02,0102,B,PICT2734,1
295,2023,07,02,0107,B,PICT2735,1
296,2023,07,02,0112,B,PICT2736,1
297,2023,07,02,0117,B,PICT2737,1
298,2023,07,02,0122,B,PICT2738,1
299,2023,07,02,0127,B,PICT2739,1
300,2023,07,02,0132,B,PICT2740,1
301,2023,07,02,0137,B,PICT2741,1
302,2023,07,02,0142,B,PICT2742,1
303,2023,07,02,0147,B,PICT2743,1
304,2023,07,02,0152,B,PICT2744,1
305,2023,07,02,0157,B,PICT2745,1
306,2023,07,02,0202,B,PICT2746,1
307,2023,07,02,0207,B,PICT2747,1
308,2023,07,02,0212,B,PICT2748,1
309,2023,07,02,0217,B,PICT2749,1
310,2023,07,02,0222,B,PICT2750,1
311,2023,07,02,0227,B,PICT2751,1
312,2023,07,02,0232,B,PICT2752,1
313,2023,07,02,0237,B,PICT2753,1
314,2023,07,02,0242,B,PICT2754,1
315,2023,07,02,0247,B,PICT2755,1
316,2023,07,02,0252,B,PICT2756,1
317,2023,07,02,0257,B,PICT2757,1
318,2023,07,02,0302,B,PICT2758,1
319,2023,07,02,0307,B,PICT2759,1
320,2023,07,02,0312,B,PICT2760,1
321,2023,07,02,0317,B,PICT2761,1
322,2023,07,02,0322,B,PICT2762,1
323,2023,07,02,0327,B,PICT2763,1
324,2023,07,02,0332,B,PICT2764,1
325,2023,07,02,0337,B,PICT2765,1
326,2023,07,02,0342,B,PICT2766,1
327,2023,07,02,0347,B,PICT2767,1
328,2023,07,02,0352,B,PICT2768,1
329,2023,07,02,0357,B,PICT2769,1
330,2023,07,02,0402,B,PICT2770,1
331,2023,07,02,0407,B,PICT2771,1
332,2023,07,02,0412,B,PICT2772,1
333,2023,07,02,0417,B,PICT2773,1
334,2023,07,02,0422,B,PICT2774,1
335,2023,07,02,0427,B,PICT2775,1
336,2023,07,02,0432,B,PICT2776,1
337,2023,07,02,0437,B,PICT2777,1
338,2023,07,02,0442,B,PICT2778,1
339,2023,07,02,0447,B,PICT2779,1
340,2023,07,02,0452,B,PICT2780,1
341,2023,07,02,0457,B,PICT2781,1
342,2023,07,02,0502,B,PICT2782,1
343,2023,07,02,0507,B,PICT2783,1
344,2023,07,02,0512,B,PICT2784,1
345,2023,07,02,0517,B,PICT2785,1
346,2023,07,02,0522,B,PICT2786,1
347,2023,07,02,0527,B,PICT2787,1
348,2023,07,02,0532,B,PICT2788,1
349,2023,07,02,0537,B,PICT2789,1
350,2023,07,02,0542,B,PICT2790,1
351,2023,07,02,0547,B,PICT2791,1
352,2023,07,02,0552,B,PICT2792,1
353,2023,07,02,0557,B,PICT2793,1
354,2023,07,02,0602,B,PICT2794,1
355,2023,07,02,0607,B,PICT2795,1
356,2023,07,02,0612,B,PICT2796,1
357,2023,07,02,0617,B,PICT2797,1
358,2023,07,02,0622,B,PICT2798,1
359,2023,07,02,0627,B,PICT2799,1
360,2023,07,02,0632,B,PICT2800,1
361,2023,07,02,0637,B,PICT2801,1
362,2023,07,02,0642,B,PICT2802,1
363,2023,07,02,0647,B,PICT2803,1
364,2023,07,02,0652,B,PICT2804,1
365,2023,07,02,0657,B,PICT2805,1
366,2023,07,02,0702,B,PICT2806,1
367,2023,07,02,0707,B,PICT2807,1
368,2023,07,02,0712,B,PICT2808,1
369,2023,07,02,0717,B,PICT2809,1
370,2023,07,02,0722,B,PICT2810,1
371,2023,07,02,0727,B,PICT2811,1
372,2023,07,02,0732,B,PICT2812,1
373,2023,07,02,0737,B,PICT2813,1
374,2023,07,02,0742,B,PICT2814,1
375,2023,07,02,0747,B,PICT2815,1
376,2023,07,02,0752,B,PICT2816,1
377,2023,07,02,0757,B,PICT2817,1
378,2023,07,02,0802,B,PICT2818,1
379,2023,07,02,0807,B,PICT2819,1
380,2023,07,02,0812,B,PICT2820,1
381,2023,07,02,0817,B,PICT2821,1
382,2023,07,02,0822,B,PICT2822,1
383,2023,07,02,0827,B,PICT2823,1
384,2023,07,02,0832,B,PICT2824,1
385,2023,07,02,0837,B,PICT2825,1
386,2023,07,02,0842,B,PICT2826,1
387,2023,07,02,0847,B,PICT2827,1
388,2023,07,02,0852,B,PICT2828,1
389,2023,07,02,0857,B,PICT2829,1
390,2023,07,02,0902,B,PICT2830,1
391,2023,07,02,0907,B,PICT2831,1
392,2023,07,02,0912,B,PICT2832,1
393,2023,07,02,0917,B,PICT2833,1
394,2023,07,02,0922,B,PICT2834,1
395,2023,07,02,0927,B,PICT2835,1
396,2023,07,02,0932,B,PICT2836,1
397,2023,07,02,0937,B,PICT2837,1
398,2023,07,02,0942,B,PICT2838,1
399,2023,07,02,0947,B,PICT2839,1
400,2023,07,02,0952,B,PICT2840,1
401,2023,07,02,0957,B,PICT2841,1
402,2023,07,02,1002,B,PICT2842,1
403,2023,07,02,1007,B,PICT2843,1
404,2023,07,02,1012,B,PICT2844,1
405,2023,07,02,1017,B,PICT2845,1
406,2023,07,02,1022,B,PICT2846,1
407,2023,07,02,1027,B,PICT2847,1
408,2023,07,02,1032,B,PICT2848,1
409,2023,07,02,1037,B,PICT2849,1
410,2023,07,02,1042,B,PICT2850,1
411,2023,07,02,1047,B,PICT2851,1
412,2023,07,02,1052,B,PICT2852,1
